LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
GBR;QGDP;TOT;PC_CHGPP;Q;2008-Q1;0.536658033;
GBR;QGDP;TOT;PC_CHGPP;Q;2008-Q2;-0.559598604;
GBR;QGDP;TOT;PC_CHGPP;Q;2008-Q3;-1.5624673;
GBR;QGDP;TOT;PC_CHGPP;Q;2008-Q4;-2.060514321;
GBR;QGDP;TOT;PC_CHGPP;Q;2009-Q1;-1.688822513;
GBR;QGDP;TOT;PC_CHGPP;Q;2009-Q2;-0.189889069;
GBR;QGDP;TOT;PC_CHGPP;Q;2009-Q3;0.123662717;
GBR;QGDP;TOT;PC_CHGPP;Q;2009-Q4;0.342469537;
GBR;QGDP;TOT;PC_CHGPP;Q;2010-Q1;0.641425096;
GBR;QGDP;TOT;PC_CHGPP;Q;2010-Q2;1.029847415;
GBR;QGDP;TOT;PC_CHGPP;Q;2010-Q3;0.729591892;
GBR;QGDP;TOT;PC_CHGPP;Q;2010-Q4;0.033538722;
GBR;QGDP;TOT;PC_CHGPP;Q;2011-Q1;0.361065142;
GBR;QGDP;TOT;PC_CHGPP;Q;2011-Q2;0.085658608;
GBR;QGDP;TOT;PC_CHGPP;Q;2011-Q3;0.336350215;
GBR;QGDP;TOT;PC_CHGPP;Q;2011-Q4;0.130933036;
GBR;QGDP;TOT;PC_CHGPP;Q;2012-Q1;0.692782118;
GBR;QGDP;TOT;PC_CHGPP;Q;2012-Q2;-0.146993818;
GBR;QGDP;TOT;PC_CHGPP;Q;2012-Q3;1.218985245;
GBR;QGDP;TOT;PC_CHGPP;Q;2012-Q4;-0.216586554;
GBR;QGDP;TOT;PC_CHGPP;Q;2013-Q1;0.529114954;
GBR;QGDP;TOT;PC_CHGPP;Q;2013-Q2;0.803993683;
GBR;QGDP;TOT;PC_CHGPP;Q;2013-Q3;0.934788322;
GBR;QGDP;TOT;PC_CHGPP;Q;2013-Q4;0.641956172;
GBR;QGDP;TOT;PC_CHGPP;Q;2014-Q1;0.768041332;
GBR;QGDP;TOT;PC_CHGPP;Q;2014-Q2;0.650992966;
GBR;QGDP;TOT;PC_CHGPP;Q;2014-Q3;0.564227306;
GBR;QGDP;TOT;PC_CHGPP;Q;2014-Q4;0.585429575;
GBR;QGDP;TOT;PC_CHGPP;Q;2015-Q1;0.54111587;
GBR;QGDP;TOT;PC_CHGPP;Q;2015-Q2;0.746769791;
GBR;QGDP;TOT;PC_CHGPP;Q;2015-Q3;0.38718278;
GBR;QGDP;TOT;PC_CHGPP;Q;2015-Q4;0.656160291;
GBR;QGDP;TOT;PC_CHGPP;Q;2016-Q1;0.199057098;
GBR;QGDP;TOT;PC_CHGPP;Q;2016-Q2;0.452700714;
GBR;QGDP;TOT;PC_CHGPP;Q;2016-Q3;0.305516255;
GBR;QGDP;TOT;PC_CHGPP;Q;2016-Q4;0.596680496;
GBR;QGDP;TOT;PC_CHGPP;Q;2017-Q1;0.496099212;
GBR;QGDP;TOT;PC_CHGPP;Q;2017-Q2;0.292920672;
GBR;QGDP;TOT;PC_CHGPP;Q;2017-Q3;0.423409183;
GBR;QGDP;TOT;PC_CHGPP;Q;2017-Q4;0.355002114;
GBR;QGDP;TOT;PC_CHGPP;Q;2018-Q1;0.069019083;
GBR;QGDP;TOT;PC_CHGPP;Q;2018-Q2;0.382631967;
GBR;QGDP;TOT;PC_CHGPP;Q;2018-Q3;0.596472835;
GBR;QGDP;TOT;PC_CHGPP;Q;2018-Q4;0.166751655;
GBR;QGDP;TOT;PC_CHGPP;Q;2019-Q1;0.552374299;
GBR;QGDP;TOT;PC_CHGPP;Q;2019-Q2;0.138397435;
GBR;QGDP;TOT;PC_CHGPP;Q;2019-Q3;0.497283852;
GBR;QGDP;TOT;PC_CHGPP;Q;2019-Q4;0.017259139;
GBR;QGDP;TOT;PC_CHGPP;Q;2020-Q1;-2.847266459;
GBR;QGDP;TOT;PC_CHGPP;Q;2020-Q2;-19.46740788;
GBR;QGDP;TOT;PC_CHGPP;Q;2020-Q3;16.94803108;
GBR;QGDP;TOT;PC_CHGPP;Q;2020-Q4;1.266579593;
GBR;QGDP;TOT;PC_CHGPP;Q;2021-Q1;-1.505125391;
EST;QGDP;TOT;PC_CHGPP;Q;2008-Q1;-2.214102451;
EST;QGDP;TOT;PC_CHGPP;Q;2008-Q2;1.045840813;
EST;QGDP;TOT;PC_CHGPP;Q;2008-Q3;0.09479174;
EST;QGDP;TOT;PC_CHGPP;Q;2008-Q4;-11.73600366;
EST;QGDP;TOT;PC_CHGPP;Q;2009-Q1;-2.606178175;
EST;QGDP;TOT;PC_CHGPP;Q;2009-Q2;-3.309058147;
EST;QGDP;TOT;PC_CHGPP;Q;2009-Q3;-1.893027211;
EST;QGDP;TOT;PC_CHGPP;Q;2009-Q4;0.521871041;
EST;QGDP;TOT;PC_CHGPP;Q;2010-Q1;1.434901074;
EST;QGDP;TOT;PC_CHGPP;Q;2010-Q2;1.327716579;
EST;QGDP;TOT;PC_CHGPP;Q;2010-Q3;1.530145818;
EST;QGDP;TOT;PC_CHGPP;Q;2010-Q4;2.167766996;
EST;QGDP;TOT;PC_CHGPP;Q;2011-Q1;2.080182376;
EST;QGDP;TOT;PC_CHGPP;Q;2011-Q2;1.933290612;
EST;QGDP;TOT;PC_CHGPP;Q;2011-Q3;1.655708679;
EST;QGDP;TOT;PC_CHGPP;Q;2011-Q4;-0.051376855;
EST;QGDP;TOT;PC_CHGPP;Q;2012-Q1;0.579023834;
EST;QGDP;TOT;PC_CHGPP;Q;2012-Q2;1.153044493;
EST;QGDP;TOT;PC_CHGPP;Q;2012-Q3;0.447912947;
EST;QGDP;TOT;PC_CHGPP;Q;2012-Q4;0.849748865;
