"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","QGDP","VOLIDX","IDX","Q","2008-Q1",96.8,
"AUT","QGDP","VOLIDX","IDX","Q","2008-Q2",97.7,
"AUT","QGDP","VOLIDX","IDX","Q","2008-Q3",97.2,
"AUT","QGDP","VOLIDX","IDX","Q","2008-Q4",95,
"AUT","QGDP","VOLIDX","IDX","Q","2009-Q1",93.3,
"AUT","QGDP","VOLIDX","IDX","Q","2009-Q2",92.5,
"AUT","QGDP","VOLIDX","IDX","Q","2009-Q3",93,
"AUT","QGDP","VOLIDX","IDX","Q","2009-Q4",93.3,
"AUT","QGDP","VOLIDX","IDX","Q","2010-Q1",93,
"AUT","QGDP","VOLIDX","IDX","Q","2010-Q2",94.2,
"AUT","QGDP","VOLIDX","IDX","Q","2010-Q3",95.1,
"AUT","QGDP","VOLIDX","IDX","Q","2010-Q4",96.1,
"AUT","QGDP","VOLIDX","IDX","Q","2011-Q1",97,
"AUT","QGDP","VOLIDX","IDX","Q","2011-Q2",97.3,
"AUT","QGDP","VOLIDX","IDX","Q","2011-Q3",98,
"AUT","QGDP","VOLIDX","IDX","Q","2011-Q4",98,
"AUT","QGDP","VOLIDX","IDX","Q","2012-Q1",98.6,
"AUT","QGDP","VOLIDX","IDX","Q","2012-Q2",98.3,
"AUT","QGDP","VOLIDX","IDX","Q","2012-Q3",98.2,
"AUT","QGDP","VOLIDX","IDX","Q","2012-Q4",98.1,
"AUT","QGDP","VOLIDX","IDX","Q","2013-Q1",97.8,
"AUT","QGDP","VOLIDX","IDX","Q","2013-Q2",98,
"AUT","QGDP","VOLIDX","IDX","Q","2013-Q3",98.4,
"AUT","QGDP","VOLIDX","IDX","Q","2013-Q4",98.9,
"AUT","QGDP","VOLIDX","IDX","Q","2014-Q1",98.6,
"AUT","QGDP","VOLIDX","IDX","Q","2014-Q2",99.3,
"AUT","QGDP","VOLIDX","IDX","Q","2014-Q3",99.2,
"AUT","QGDP","VOLIDX","IDX","Q","2014-Q4",99.3,
"AUT","QGDP","VOLIDX","IDX","Q","2015-Q1",99.6,
"AUT","QGDP","VOLIDX","IDX","Q","2015-Q2",99.7,
